,Dealer_Code,Dealer_Name,dealer_district,dealer_type,dealer_taluka,Feb_2324_sales,Mar_2324_sales,Apr_2425_sales,May_2425_sales,Jun_2425_sales,Jul_2425_sales,Aug_2425_sales,Sep_2425_sales,Oct_2425_sales,Nov_2425_sales,Dec_2425_sales,Jan_2425_sales,Feb_2324_Target,Mar_2324_Target,Apr_2425_Target,May_2425_Target,Jun_2425_Target,Jul_2425_Target,Aug_2425_Target,Sep_2425_Target,Oct_2425_Target,Nov_2425_Target,Dec_2425_Target,Jan_2425_Target,Sales_Pattern_Overall,Target_Pattern_Overall,Achieved_Type,Predicted_Target_R,Percentage_PT_Dist,Category_Overall,new_market_potential,AP_12,NORM_counter_market_ratio,NORM_sales_by_counter_3M,AVG_SALES-N,MarketSizePer1000_N,Code,Dealer Name,CS,AP,MP,Status,Predicted_Target,MPA,SOB,AP_normalized,Score,Tier,Incentive_per_Ton_linear,Incentive_per_Ton_exponential,Final_Incentive,Perfomance_Bonus,Predicted_Incentive
78,SIPA232,Sri Hari Hara Cement & Steels,Nellore,Non-Exclusive,Atmakur,13,12,12,0,0,12,12,0,13,0,0,23,25,12,12,12,15,12,20,20,20,10,12,12,HLHLLH,NNNNNA,Low Achievement,20,0.0016570008285004142,Fluctuating Performer,157.5,29.02666666666666,0.00047582028204983987,0.0014567551432969389,0.09210657536068081,0.014055327808004468,SIPA232,Sri Hari Hara Cement & Steels,24.0,6.0,60.0,Non-Exclusive,20.0,15.238095238095239,33.78819444444445,3.869514146399622,12.126966424347712,Tier 5,1333.0,952.0,952.0,0.0,19040.0
79,SIPA233,Sri Vigneswara Agencies,Nellore,Non-Exclusive,Kota,50,62,52,25,10,21,48,55,54,54,50,32,50,40,40,45,50,50,50,50,50,50,50,50,HHHHHL,NAAAAN,Moderate Achievement,55,0.004556752278376139,Consistently Strong Performer,252.0,0.0,0.0011107411521263527,0.0192286763560474,0.0,,SIPA233,Sri Vigneswara Agencies,67.8,35.0,200.0,Non-Exclusive,55.0,26.904761904761905,63.17600786627335,20.80576830063013,30.499614934585132,Tier 1,2000.0,2000.0,2040.0,40.0,112200.0
80,SIPA234,Lakshmi Iron & Cements,Prakasam,Non-Exclusive,Chirala,32,42,103,68,48,50,48,53,60,91,0,0,50,40,45,55,60,50,50,50,50,35,50,30,LLLHLL,NAAANN,Moderate Achievement,75,0.006213753106876553,Fluctuating Performer,336.0,0.0,0.011110744855831429,0.0006388930974365321,0.0,,SIPA234,Lakshmi Iron & Cements,115.2,62.0,30.0,Non-Exclusive,75.0,34.285714285714285,43.17418981481482,24.172778054011435,29.99564765251268,Tier 1,2000.0,2000.0,2000.0,0.0,150000.0
81,SIPA235,Maddileti Agencies Nandyal,Kurnool,Exclusive,Nandyal,60,74,92,39,33,30,56,63,56,55,46,30,60,60,60,65,65,55,65,65,50,50,60,60,HHHHLL,NNAANN,Low Achievement,50,0.004142502071251036,Emerging Performer,1050.0,11.609166666666667,0.00023243394852051004,0.005286338912089249,0.06513031048467523,0.0017476938900532197,SIPA235,Maddileti Agencies Nandyal,121.7,52.0,3000.0,Exclusive,50.0,11.590476190476192,43.44563133388113,25.702645836692174,26.428809006886766,Tier 2,1833.0,1611.0,1611.0,0.0,80550.0
82,SIPA236,Siva Sankar Traders,Prakasam,Non-Exclusive,Cumbum,26,29,28,24,25,25,11,11,20,10,17,14,24,20,24,24,30,24,25,25,20,20,24,24,LLLLLL,NNANNN,Low Achievement,20,0.0016570008285004142,Consistently Weak Performer,131.25,6.6450000000000005,0.0005287303545562159,0.00026496067556792274,0.04351439398976132,0.0016817949431950892,SIPA236,Siva Sankar Traders,10.2,21.0,100.0,Non-Exclusive,20.0,7.7714285714285705,100.0,9.726013849015652,27.389894023695106,Tier 1,2000.0,2000.0,2000.0,0.0,40000.0
83,SIPA237,Sri Sai Durga Traders,Guntur,Non-Exclusive,Modukur,17,14,26,0,0,13,21,13,0,12,20,12,20,12,12,12,12,12,15,15,20,20,24,12,HHLHHL,ANNNNN,Low Achievement,20,0.0016570008285004142,Emerging Performer,42.0,14.770000000000001,0.0006610055358221561,0.00289565941650266,0.07843560933448575,0.0009584767968326708,SIPA237,Sri Sai Durga Traders,31.6,12.0,40.0,Non-Exclusive,20.0,75.23809523809524,39.0717299578059,5.9362988634377585,26.423744357242885,Tier 2,1833.0,1611.0,1611.0,0.0,32220.0
84,SIPA238,Kalyan Traders,Cuddapah,Non-Exclusive,Jammalamadugu,0,11,0,13,0,0,13,12,0,0,12,6,0,0,0,12,10,10,10,10,10,10,12,5,HHLLHL,AANNNA,Moderate Achievement,15,0.0012427506213753107,Fluctuating Performer,241.5,4.404166666666667,0.000380582151538363,0.0001726916364055386,0.016629545907851876,0.004225693434928883,SIPA238,Kalyan Traders,0.3,6.0,230.0,Non-Exclusive,15.0,0.12422360248447205,100.0,2.2410151428730134,21.3694538062207,Tier 3,1667.0,1323.0,1323.0,0.0,19840.0
85,SIPA241,Sree Ranga Traders Atmakur,Kurnool,Non-Exclusive,Atmakur,15,20,20,20,22,0,23,20,0,20,20,0,15,15,15,15,15,20,20,20,20,20,20,20,HHLHHL,AANAAN,Moderate Achievement,25,0.002071251035625518,Consistently Strong Performer,157.5,41.473333333333336,0.0003170900645307117,0.0016761913482304929,0.17155608004786915,0.016573953002460583,SIPA241,Sree Ranga Traders Atmakur,32.0,17.0,60.0,Non-Exclusive,25.0,20.317460317460316,46.85416666666667,7.227175610991962,17.770630763420577,Tier 3,1667.0,1323.0,1349.0,26.0,33720.0
86,SIPA243,Sri Balaji Cement Agencies,Prakasam,Non-Exclusive,Kandukuru,24,51,12,12,12,12,12,25,26,25,12,12,20,20,20,24,24,24,30,30,20,20,24,20,LHHHLL,NNNNNN,No Achievement,15,0.0012427506213753107,Fluctuating Performer,168.0,0.0,0.0011107411521263527,0.0192286763560474,0.0,,SIPA243,Sri Balaji Cement Agencies,30.8,14.0,140.0,Non-Exclusive,15.0,18.333333333333336,49.27489177489178,7.316594025495086,17.911601436942078,Tier 3,1667.0,1323.0,1323.0,0.0,19840.0
87,SIPA244,Sri Balaji Agencies,Guntur,Non-Exclusive,Ponnur,51,45,51,54,30,25,25,25,49,21,49,20,50,40,50,50,50,50,50,50,50,50,50,40,LLHLHL,NNNNNN,No Achievement,30,0.0024855012427506215,Consistently Weak Performer,140.0,0.0,4.195768749755622e-05,0.00015812284074832007,0.0,0.052769515044649495,SIPA244,Sri Balaji Agencies,90.6,35.0,140.0,Non-Exclusive,30.0,64.71428571428571,40.974061810154524,18.02038468885779,31.949900318202722,Tier 1,2000.0,2000.0,2000.0,0.0,60000.0
